"A_beautiful_mind_script" "fight_club_script" "Remember_script" "Secret_window_script" "Seven_script" "Shutter_island_script"
"волос" 0 0 0 0 0.0127567291746396 0
"волоске" 0 0.00936066647945334 0 0 0 0
"волосы" 0 0.00936066647945334 0.0104025798398003 0 0 0
"вольны" 0 0.00936066647945334 0 0 0 0
"волю" 0 0.00936066647945334 0 0 0 0
"вон" 0 0.0374426659178133 0 0.0366032210834553 0.0127567291746396 0
"вообще" 0.0668270515904838 0.0374426659178133 0.0624154790388016 0.0732064421669107 0.114810562571757 0.0516956162117452
"вопрос" 0.0267308206361935 0.05616399887672 0.0104025798398003 0.128111273792094 0.0127567291746396 0.0827129859387924
"вопросами" 0 0.00936066647945334 0 0 0 0
"вопросов" 0 0.0187213329589067 0 0 0.0127567291746396 0.0310173697270471
"вопросы" 0.0133654103180968 0.0374426659178133 0.0312077395194008 0 0.0510269166985585 0.0413564929693962
"восемь" 0 0.02808199943836 0 0 0 0
"восемьдесят" 0 0 0 0.0732064421669107 0 0
"воскресенье" 0 0.00936066647945334 0 0 0 0
"воспаленный" 0 0.00936066647945334 0 0 0 0
"воспитать" 0 0 0 0 0.0127567291746396 0
"воспользоваться" 0 0 0 0 0.0127567291746396 0
"восстановить" 0.0133654103180968 0 0.0104025798398003 0 0.0127567291746396 0
"восток" 0 0 0.0104025798398003 0 0.0127567291746396 0
"восточном" 0.0133654103180968 0 0 0 0 0
"восхищен" 0 0.00936066647945334 0 0 0.0127567291746396 0
"вот" 0.213846565089548 0.33698399326032 0.156038697597004 0.384333821376281 0.459242250287026 0.279156327543424
"вошли" 0 0.00936066647945334 0 0 0 0
"впервые" 0.0133654103180968 0.00936066647945334 0.0104025798398003 0.0183016105417277 0 0.010339123242349
"вперед" 0 0 0 0 0.0127567291746396 0
"вполне" 0.0133654103180968 0.02808199943836 0 0.0366032210834553 0.0127567291746396 0.0620347394540943
"вправду" 0 0 0 0.0183016105417277 0 0
"впрочем" 0 0.00936066647945334 0 0 0 0
"впрыснул" 0 0.00936066647945334 0 0 0 0
"врасплох" 0 0 0.0104025798398003 0 0 0
"врач" 0 0 0.0104025798398003 0.0183016105417277 0 0.0206782464846981
"врачом" 0 0 0 0 0 0.010339123242349
"врачу" 0 0.00936066647945334 0.0104025798398003 0 0 0.010339123242349
"врезал" 0 0 0 0 0.0127567291746396 0
"времена" 0 0 0.0208051596796005 0 0 0.010339123242349
"временами" 0 0.0374426659178133 0 0 0 0
"временем" 0 0.00936066647945334 0 0.054904831625183 0.0127567291746396 0
"времени" 0.0935578722266774 0.0468033323972667 0.0416103193592011 0.0183016105417277 0.0382701875239189 0.0516956162117452
"время" 0.0801924619085806 0.11232799775344 0.104025798398003 0.0915080527086384 0.153080750095675 0.155086848635236
"вроде" 0.0267308206361935 0.02808199943836 0.0104025798398003 0.0732064421669107 0 0
"все" 0.160384923817161 0.9828699803426 0.0624154790388016 0.512445095168375 0.943997958923332 0.196443341604632
"всегда" 0.147019513499064 0.0187213329589067 0.0624154790388016 0.0732064421669107 0.0510269166985585 0.0620347394540943
"всего" 0.0668270515904838 0.0655246653561734 0.145636117757204 0.054904831625183 0.127567291746396 0.0620347394540943
